회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대
328602944,1,0,61.0,0,0,0,60대,193355.0,기타,기타,1,8,1
328656768,1,0,51.0,0,0,0,50대,66046.0,기타,기타,0,5,1
329996800,1,0,45.0,0,0,0,40대,56283.0,기타,기타,0,2,1
330069184,1,0,53.0,0,0,0,50대,10338.0,기타,기타,0,1,1
330123008,1,0,45.0,0,0,0,40대,233534.0,수지구,풍덕천동,0,13,1
330410688,1,0,73.0,0,0,0,70대이상,224464.0,수지구,성복동,1,6,0
330780032,1,0,58.0,1,0,0,50대,532975.0,수지구,성복동,0,12,1
330898816,1,0,50.0,0,0,0,50대,24122.0,분당구,정자동,0,2,1
330919232,1,0,44.0,1,0,0,40대,421703.0,수지구,동천동,0,21,1
331201344,1,0,76.0,0,0,0,70대이상,11486.0,기흥구,마북동,1,1,0
331314560,1,0,55.0,0,0,0,50대,4212.0,수지구,풍덕천동,0,1,1
331721024,1,0,50.0,0,0,0,50대,57624.0,기타,기타,0,3,1
331763712,1,0,52.0,0,0,0,50대,239208.0,분당구,구미동,0,10,1
332064384,1,0,49.0,0,0,0,40대,35608.0,수지구,죽전동,0,2,1
332179456,1,1,59.0,0,0,0,50대,10338.0,수지구,성복동,0,1,1
333129728,1,0,58.0,0,0,0,50대,67100.0,기타,기타,0,5,1
333218816,1,0,64.0,1,0,0,60대,788544.0,기타,기타,1,23,1
333577024,1,0,65.0,0,0,0,60대,14932.0,기타,기타,1,1,1
334324992,0,0,56.0,0,0,0,50대,569253.0,분당구,판교동,0,15,1
334725888,1,0,52.0,1,0,0,50대,1173360.0,기타,기타,0,22,1
335202880,1,0,54.0,0,0,0,50대,333300.0,수지구,동천동,0,19,1
335308672,1,0,51.0,0,0,0,50대,30344.0,수원 장안구,기타,0,3,1
335336512,1,0,44.0,0,0,0,40대,52262.0,기타,기타,0,5,1
335479424,1,0,58.0,0,0,0,50대,23739.0,수지구,풍덕천동,0,1,1
