회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
229963968,0.0,2.0,0.0,2.0,0.0,1.0,0.0
230702656,21.0,13.0,4.0,38.0,0.55,0.34,0.11
230867840,0.0,1.0,0.0,1.0,0.0,1.0,0.0
231641792,17.0,12.0,0.0,29.0,0.59,0.41,0.0
231905344,3.0,19.0,2.0,24.0,0.12,0.79,0.08
231959168,0.0,1.0,1.0,2.0,0.0,0.5,0.5
232105792,0.0,1.0,0.0,1.0,0.0,1.0,0.0
232330368,1.0,2.0,2.0,5.0,0.2,0.4,0.4
232798080,0.0,3.0,3.0,6.0,0.0,0.5,0.5
232809216,0.0,0.0,1.0,1.0,0.0,0.0,1.0
233109888,0.0,1.0,0.0,1.0,0.0,1.0,0.0
234381248,16.0,28.0,2.0,46.0,0.35,0.61,0.04
234999296,0.0,2.0,0.0,2.0,0.0,1.0,0.0
235238720,7.0,20.0,29.0,56.0,0.12,0.36,0.52
235467008,1.0,0.0,0.0,1.0,1.0,0.0,0.0
235916160,0.0,1.0,0.0,1.0,0.0,1.0,0.0
236625152,2.0,3.0,1.0,6.0,0.33,0.5,0.17
236805184,1.0,6.0,6.0,13.0,0.08,0.46,0.46
236901696,0.0,1.0,0.0,1.0,0.0,1.0,0.0
238085824,3.0,8.0,1.0,12.0,0.25,0.67,0.08
238087680,0.0,1.0,0.0,1.0,0.0,1.0,0.0
238379072,4.0,4.0,4.0,12.0,0.33,0.33,0.33
238470016,1.0,5.0,7.0,13.0,0.08,0.38,0.54
238596224,1.0,0.0,0.0,1.0,1.0,0.0,0.0
238622208,2.0,5.0,3.0,10.0,0.2,0.5,0.3
239273664,1.0,0.0,0.0,1.0,1.0,0.0,0.0
239546496,0.0,0.0,1.0,1.0,0.0,0.0,1.0
240220224,3.0,8.0,1.0,12.0,0.25,0.67,0.08
240838272,0.0,1.0,0.0,1.0,0.0,1.0,0.0
240949632,0.0,4.0,1.0,5.0,0.0,0.8,0.2
241038720,7.0,24.0,32.0,63.0,0.11,0.38,0.51
241473024,3.0,0.0,0.0,3.0,1.0,0.0,0.0
241838656,0.0,1.0,3.0,4.0,0.0,0.25,0.75
242573632,0.0,2.0,1.0,3.0,0.0,0.67,0.33
242729536,0.0,1.0,0.0,1.0,0.0,1.0,0.0
242987520,0.0,0.0,1.0,1.0,0.0,0.0,1.0
243273344,0.0,1.0,2.0,3.0,0.0,0.33,0.67
243574016,0.0,1.0,0.0,1.0,0.0,1.0,0.0
243824576,1.0,2.0,0.0,3.0,0.33,0.67,0.0
244375808,0.0,1.0,0.0,1.0,0.0,1.0,0.0
244511296,0.0,5.0,1.0,6.0,0.0,0.83,0.17
244529856,0.0,0.0,1.0,1.0,0.0,0.0,1.0
244540992,0.0,3.0,1.0,4.0,0.0,0.75,0.25
245205440,0.0,1.0,0.0,1.0,0.0,1.0,0.0
245224000,0.0,1.0,0.0,1.0,0.0,1.0,0.0
245621184,0.0,1.0,1.0,2.0,0.0,0.5,0.5
246003520,1.0,0.0,0.0,1.0,1.0,0.0,0.0
246289344,1.0,0.0,1.0,2.0,0.5,0.0,0.5
246764480,0.0,3.0,1.0,4.0,0.0,0.75,0.25
247510592,0.0,2.0,0.0,2.0,0.0,1.0,0.0
248611200,1.0,0.0,2.0,3.0,0.33,0.0,0.67
249314624,18.0,2.0,7.0,27.0,0.67,0.07,0.26
249548480,2.0,3.0,0.0,5.0,0.4,0.6,0.0
249572608,2.0,5.0,1.0,8.0,0.25,0.62,0.12
250146112,0.0,11.0,2.0,13.0,0.0,0.85,0.15
251174336,4.0,2.0,1.0,7.0,0.57,0.29,0.14
251677312,0.0,0.0,1.0,1.0,0.0,0.0,1.0
251753408,1.0,2.0,1.0,4.0,0.25,0.5,0.25
252701824,0.0,0.0,1.0,1.0,0.0,0.0,1.0
252854016,0.0,1.0,0.0,1.0,0.0,1.0,0.0
254585664,1.0,7.0,2.0,10.0,0.1,0.7,0.2
255101632,0.0,2.0,0.0,2.0,0.0,1.0,0.0
256733056,0.0,1.0,1.0,2.0,0.0,0.5,0.5
258074944,0.0,1.0,0.0,1.0,0.0,1.0,0.0
258737536,0.0,1.0,0.0,1.0,0.0,1.0,0.0
258822912,0.0,0.0,1.0,1.0,0.0,0.0,1.0
259570880,0.0,0.0,1.0,1.0,0.0,0.0,1.0
260047872,0.0,0.0,1.0,1.0,0.0,0.0,1.0
261918720,0.0,1.0,0.0,1.0,0.0,1.0,0.0
263075008,0.0,1.0,0.0,1.0,0.0,1.0,0.0
263284736,2.0,3.0,0.0,5.0,0.4,0.6,0.0
263368256,0.0,2.0,0.0,2.0,0.0,1.0,0.0
263832256,3.0,16.0,3.0,22.0,0.14,0.73,0.14
263908352,0.0,3.0,1.0,4.0,0.0,0.75,0.25
264548672,2.0,1.0,6.0,9.0,0.22,0.11,0.67
