회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
184735104,0.0,0.0,1.0,1.0,0.0,0.0,1.0
184915136,1.0,22.0,8.0,31.0,0.03,0.71,0.26
185217664,1.0,1.0,0.0,2.0,0.5,0.5,0.0
185479360,0.0,0.0,1.0,1.0,0.0,0.0,1.0
186401792,4.0,7.0,1.0,12.0,0.33,0.58,0.08
186468608,0.0,1.0,4.0,5.0,0.0,0.2,0.8
186709888,0.0,0.0,28.0,28.0,0.0,0.0,1.0
186832384,3.0,4.0,0.0,7.0,0.43,0.57,0.0
186836096,1.0,0.0,0.0,1.0,1.0,0.0,0.0
187192448,0.0,1.0,0.0,1.0,0.0,1.0,0.0
187359488,26.0,11.0,6.0,43.0,0.6,0.26,0.14
187571072,0.0,2.0,0.0,2.0,0.0,1.0,0.0
187647168,19.0,18.0,6.0,43.0,0.44,0.42,0.14
187773376,2.0,9.0,0.0,11.0,0.18,0.82,0.0
188074048,3.0,1.0,0.0,4.0,0.75,0.25,0.0
188658688,1.0,21.0,12.0,34.0,0.03,0.62,0.35
188727360,0.0,4.0,0.0,4.0,0.0,1.0,0.0
188922240,1.0,1.0,0.0,2.0,0.5,0.5,0.0
189544000,20.0,48.0,8.0,76.0,0.26,0.63,0.11
189677632,0.0,2.0,0.0,2.0,0.0,1.0,0.0
189681344,0.0,1.0,0.0,1.0,0.0,1.0,0.0
190555520,1.0,0.0,0.0,1.0,1.0,0.0,0.0
190696576,4.0,10.0,3.0,17.0,0.24,0.59,0.18
190802368,0.0,10.0,8.0,18.0,0.0,0.56,0.44
190917440,2.0,10.0,3.0,15.0,0.13,0.67,0.2
191112320,0.0,2.0,3.0,5.0,0.0,0.4,0.6
191450112,1.0,0.0,0.0,1.0,1.0,0.0,0.0
192021760,1.0,0.0,0.0,1.0,1.0,0.0,0.0
192268608,0.0,0.0,1.0,1.0,0.0,0.0,1.0
192313152,0.0,1.0,0.0,1.0,0.0,1.0,0.0
192331712,10.0,12.0,3.0,25.0,0.4,0.48,0.12
192845824,0.0,1.0,0.0,1.0,0.0,1.0,0.0
192864384,0.0,0.0,1.0,1.0,0.0,0.0,1.0
192897792,2.0,1.0,3.0,6.0,0.33,0.17,0.5
192994304,0.0,2.0,0.0,2.0,0.0,1.0,0.0
193109376,0.0,2.0,0.0,2.0,0.0,1.0,0.0
194087488,1.0,0.0,0.0,1.0,1.0,0.0,0.0
194408576,0.0,3.0,6.0,9.0,0.0,0.33,0.67
194560768,3.0,3.0,1.0,7.0,0.43,0.43,0.14
194679552,0.0,0.0,1.0,1.0,0.0,0.0,1.0
194911552,0.0,0.0,1.0,1.0,0.0,0.0,1.0
195084160,0.0,2.0,0.0,2.0,0.0,1.0,0.0
195227072,0.0,2.0,1.0,3.0,0.0,0.67,0.33
195262336,1.0,4.0,1.0,6.0,0.17,0.67,0.17
196388928,1.0,8.0,21.0,30.0,0.03,0.27,0.7
196431616,1.0,6.0,2.0,9.0,0.11,0.67,0.22
196691456,0.0,1.0,0.0,1.0,0.0,1.0,0.0
196823232,0.0,1.0,0.0,1.0,0.0,1.0,0.0
196890048,0.0,3.0,0.0,3.0,0.0,1.0,0.0
197057088,1.0,1.0,1.0,3.0,0.33,0.33,0.33
197936832,0.0,1.0,1.0,2.0,0.0,0.5,0.5
198224512,2.0,3.0,1.0,6.0,0.33,0.5,0.17
198952064,0.0,1.0,0.0,1.0,0.0,1.0,0.0
199520000,0.0,4.0,1.0,5.0,0.0,0.8,0.2
199848512,0.0,1.0,0.0,1.0,0.0,1.0,0.0
199919040,0.0,2.0,0.0,2.0,0.0,1.0,0.0
199933888,0.0,2.0,0.0,2.0,0.0,1.0,0.0
200193728,0.0,0.0,1.0,1.0,0.0,0.0,1.0
200204864,4.0,13.0,29.0,46.0,0.09,0.28,0.63
200234560,8.0,17.0,19.0,44.0,0.18,0.39,0.43
200548224,50.0,11.0,0.0,61.0,0.82,0.18,0.0
200564928,0.0,0.0,1.0,1.0,0.0,0.0,1.0
200631744,3.0,12.0,8.0,23.0,0.13,0.52,0.35
200743104,1.0,2.0,2.0,5.0,0.2,0.4,0.4
