회원번호,오전,오후,저녁,총방문수,오전방문율,오후방문율,저녁방문율
1315289664,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1316906240,0.0,7.0,2.0,9.0,0.0,0.78,0.22
1316921088,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1317218048,1.0,1.0,0.0,2.0,0.5,0.5,0.0
1317613376,4.0,16.0,13.0,33.0,0.12,0.48,0.39
1318151616,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1320742592,2.0,3.0,0.0,5.0,0.4,0.6,0.0
1321195456,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1322034368,0.0,3.0,3.0,6.0,0.0,0.5,0.5
1322841728,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1322943808,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1323482048,1.0,4.0,2.0,7.0,0.14,0.57,0.29
1323656512,0.0,15.0,2.0,17.0,0.0,0.88,0.12
1324491712,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1327205184,0.0,1.0,1.0,2.0,0.0,0.5,0.5
1327997696,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1328459840,1.0,1.0,6.0,8.0,0.12,0.12,0.75
1331796928,13.0,5.0,2.0,20.0,0.65,0.25,0.1
1333988864,8.0,10.0,1.0,19.0,0.42,0.53,0.05
1335403136,3.0,1.0,0.0,4.0,0.75,0.25,0.0
1335980352,0.0,2.0,0.0,2.0,0.0,1.0,0.0
1336154816,1.0,2.0,1.0,4.0,0.25,0.5,0.25
1336982592,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1338393152,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1339011200,1.0,5.0,0.0,6.0,0.17,0.83,0.0
1340384640,5.0,12.0,3.0,20.0,0.25,0.6,0.15
1342823424,1.0,4.0,4.0,9.0,0.11,0.44,0.44
1344683136,1.0,20.0,4.0,25.0,0.04,0.8,0.16
1345694656,0.0,3.0,1.0,4.0,0.0,0.75,0.25
1345707648,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1346589248,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1347530240,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1348254080,0.0,1.0,0.0,1.0,0.0,1.0,0.0
